/vref_c (temperature=0) X,/vref_c (temperature=0) Y,/vref_c (temperature=27) X,/vref_c (temperature=27) Y,/vref_c (temperature=100) X,/vref_c (temperature=100) Y,/vref_p (temperature=0) X,/vref_p (temperature=0) Y,/vref_p (temperature=27) X,/vref_p (temperature=27) Y,/vref_p (temperature=100) X,/vref_p (temperature=100) Y
1.652484338371576e-11,-5.750093440292888e-05,2.262659531841614e-11,-5.795530167555847e-05,6.836122164619409e-11,-4.225120200788959e-05,1.652484338371576e-11,-6.190688952477404e-05,2.262659531841614e-11,-6.392866836466759e-05,6.836122164619409e-11,-5.254805948520741e-05
1.900512020238484e-11,-5.591674007294225e-05,2.598660235329694e-11,-5.586971700183306e-05,8.611572680902724e-11,-3.280986991657448e-05,1.900512020238484e-11,-6.139288783849642e-05,2.598660235329694e-11,-6.26006784951353e-05,8.611572680902724e-11,-4.443402578032007e-05
2.185989418775444e-11,-5.412681951428836e-05,2.999761519235447e-11,-5.342962991559752e-05,1.164212464530394e-10,-1.766947977482806e-05,2.185989418775444e-11,-6.039784091350023e-05,2.999761519235447e-11,-6.077647414877502e-05,1.164212464530394e-10,-3.154412239418774e-05
2.518382653496785e-11,-5.208230513070978e-05,3.495110840576542e-11,-5.047787866961778e-05,1.748891397472139e-10,7.608977730519179e-06,2.518382653496785e-11,-5.896512728162009e-05,3.495110840576542e-11,-5.838987837971023e-05,1.748891397472139e-10,-1.067945848517915e-05
2.919584623986793e-11,-4.966226746374259e-05,4.133565758797663e-11,-4.67566995470537e-05,2.567246961563844e-10,2.991623570016127e-05,2.919584623986793e-11,-5.707116282721315e-05,4.133565758797663e-11,-5.527595008085157e-05,2.567246961563844e-10,5.331921558237374e-06
3.42706474624148e-11,-4.666326310208732e-05,5.004394400689957e-11,-4.180614258992989e-05,3.31517653146706e-10,2.606530816279546e-05,3.42706474624148e-11,-5.460325132989485e-05,5.004394400689957e-11,-5.108655714536865e-05,3.31517653146706e-10,-2.825871938507566e-06
4.103395788691027e-11,-4.275510314758131e-05,6.296388692892746e-11,-3.468032608223121e-05,3.901849406912511e-10,-6.982609527532497e-06,4.103395788691027e-11,-5.1326145982105e-05,6.296388692892746e-11,-4.505415106352925e-05,3.901849406912511e-10,-3.423560150880984e-05
5.0742467101565e-11,-3.728877204018048e-05,8.5144194137842e-11,-2.295948969952542e-05,4.37150291928361e-10,-6.612160700275375e-05,5.0742467101565e-11,-4.672487277855064e-05,8.5144194137842e-11,-3.518484202990601e-05,4.37150291928361e-10,-8.290841233213993e-05
6.644158713783242e-11,-2.873744387968061e-05,1.295048085556711e-10,-1.352947793530397e-06,4.760840268292171e-10,-0.0001485761819075681,6.644158713783242e-11,-3.954375473630795e-05,1.295048085556711e-10,-1.731306306503046e-05,4.760840268292171e-10,-0.0001437072357163732
9.783982721036725e-11,-1.252246170627101e-05,1.938140335335851e-10,2.447122023499671e-05,5.101416016354329e-10,-0.0002554005508782491,9.783982721036725e-11,-2.604634567933068e-05,1.938140335335851e-10,2.781691793049991e-06,5.101416016354329e-10,-0.0002148122860655835
1.485289867280082e-10,1.107284993511032e-05,2.794011236459723e-10,4.078353988207145e-05,5.414247877932961e-10,-0.0003898957037803384,1.485289867280082e-10,-6.962951570209885e-06,2.794011236459723e-10,1.079918483680352e-05,5.414247877932961e-10,-0.0002960501070507627
2.212265988225775e-10,3.665842058403151e-05,3.492111425434538e-10,2.319546483810008e-05,5.719656622660105e-10,-0.000561545364804504,2.212265988225775e-10,1.153910697738956e-05,3.492111425434538e-10,-1.208756660553591e-05,5.719656622660105e-10,-0.0003897324229493049
